11,present,0.69
14,present,0.63
14,present,0.64
13,present,0.61
14,present,0.6
13,present,0.64
13,present,0.63
11,present,0.65
11,present,0.64
14,present,0.67
14,present,0.67
14,present,0.67
13,present,0.7
14,present,0.69
14,present,0.69
11,present,0.69
13,present,0.67
14,present,0.68
14,present,0.67
14,present,0.7
14,present,0.69
14,present,0.69
14,present,0.7
14,present,0.69
14,present,0.69
14,present,0.69
14,present,0.68
14,present,0.68
14,present,0.7
13,present,0.63
11,present,0.54
14,present,0.43
14,present,0.52
14,present,0.47
11,present,0.54
11,present,0.56
11,present,0.55
11,present,0.53
11,present,0.55
11,present,0.54
11,present,0.49
11,present,0.54
14,present,0.54
11,present,0.57
11,present,0.62
11,present,0.53
11,present,0.58
11,present,0.64
11,present,0.62
11,present,0.66
11,present,0.65
11,present,0.63
11,present,0.63
11,present,0.62
11,present,0.6
11,present,0.61
11,present,0.63
